wday,round_arrival,round_departure,local_activity_happened_marker,probability
5,11,13,0,0.008241758
5,15,15,0,0.008241758
6,6,12,0,0.008241758
6,7,8,0,0.008241758
6,7,14,0,0.005494505
6,7,15,0,0.005494505
6,8,14,1,0.005494505
6,11,17,0,0.002747253
6,12,13,0,0.002747253
6,14,14,0,0.005494505
6,15,15,0,0.002747253
6,20,22,0,0.002747253
6,23,2,0,0.002747253
